,ID,Tag,Count,Percentage
0,83,ADJ,430,0.031261359505634315
1,84,ADP,1122,0.08157033805888768
2,85,ADV,1345,0.09778262450018176
3,88,CCONJ,407,0.02958924027626318
4,89,DET,1155,0.08396946564885496
5,90,INTJ,1614,0.1173391494002181
6,91,NOUN,1558,0.11326790258087968
7,92,NUM,182,0.013231552162849873
8,93,PART,353,0.025663395129043982
9,94,PRON,794,0.05772446383133406
10,95,PROPN,86,0.006252271901126863
11,96,PUNCT,3091,0.224718284260269
12,99,VERB,1610,0.11704834605597965
13,100,X,8,0.0005816066884769174
