,ID,Tag,Count,Percentage
0,83,ADJ,697,0.0501150417026172
1,84,ADP,1048,0.07535231521426516
2,85,ADV,1391,0.10001438021282714
3,88,CCONJ,316,0.02272073626689675
4,89,DET,1580,0.11360368133448374
5,90,INTJ,448,0.03221167673281564
6,91,NOUN,2001,0.14387402933563417
7,92,NUM,44,0.0031636468219729654
8,93,PART,350,0.025165372447512224
9,94,PRON,1853,0.1332326718435433
10,95,PROPN,20,0.0014380212827149843
11,96,PUNCT,939,0.0675150992234685
12,99,VERB,3211,0.23087431693989072
13,100,X,7,0.0005033074489502444
14,102,SPACE,3,0.00021570319240724764
