Freq.,Free Freq.,Size,Surface Form,Establishment turn,Spanning,Priming,First Speaker,Turns,Span Lists,Dialogue id,Speakers,Experiment
4,0,1,well,17,63,1,A,"12,17,70,75","[[12, 17], [70, 75]]",2072,"A,M",Finetune DialoGPT - Normal
3,1,1,so,27,3,2,A,"26,27,29","[[26, 27, 29]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,1,here,73,3,2,A,"70,73","[[70, 73]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,2,"know ,",157,13,2,A,"156,157,166,169","[[156, 157], [166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,2,cats .,115,5,2,A,"110,115","[[110, 115]]",2107,"A,M",Finetune DialoGPT - Normal
13,3,1,oh,15,151,1,A,"12,14,15,19,92,95,98,99,103,130,131,158,163","[[12, 14, 15], [14, 15, 19], [92, 95], [98, 99, 103], [130, 131], [158, 163]]",2107,"A,M",Finetune DialoGPT - Normal
6,0,1,know,81,93,2,A,"76,81,156,157,166,169","[[76, 81], [156, 157], [166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,he,41,3,4,A,"40,41,42,43","[[40, 41, 42, 43], [42, 43]]",2107,"A,M",Finetune DialoGPT - Normal
8,0,1,to,51,123,3,A,"48,51,68,73,166,169,170,171","[[48, 51], [68, 73], [166, 169, 170, 171]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,you,25,145,2,A,"24,25,166,169","[[24, 25], [166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,that,25,63,1,A,"20,25,78,83","[[20, 25], [78, 83]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,like,51,95,1,A,"48,51,138,143","[[48, 51], [138, 143]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,of,41,121,3,A,"36,41,156,157","[[36, 41], [156, 157]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,so,23,3,2,A,"20,23","[[20, 23]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,was,73,5,3,A,"68,73","[[68, 73]]",2107,"A,M",Finetune DialoGPT - Normal
5,1,1,cats,55,61,2,A,"54,55,110,113,115","[[54, 55], [110, 113, 115]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,it's,27,49,1,A,"24,27,72,73","[[24, 27], [72, 73]]",2107,"A,M",Finetune DialoGPT - Normal
3,1,1,well,165,5,1,A,"164,165,169","[[164, 165, 169]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,been,169,3,3,A,"166,169","[[166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,she,139,3,1,A,"136,139","[[136, 139]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,3,"uh , i",1,1,1,A,"0,1","[[0, 1]]",2120,"A,M",Finetune DialoGPT - Normal
5,1,2,", i",1,7,1,A,"0,1,2,5,7","[[0, 1, 2, 5], [2, 5, 7]]",2120,"A,M",Finetune DialoGPT - Normal
5,1,2,"uh ,",1,11,1,A,"0,1,6,8,11","[[0, 1], [6, 8, 11]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,2,", uh",7,5,2,A,"2,7","[[2, 7]]",2120,"A,M",Finetune DialoGPT - Normal
3,1,2,"i ,",1,5,1,A,"0,1,5","[[0, 1, 5]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,2,i don't,7,5,1,A,"2,7","[[2, 7]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,2,"oh ,",9,1,1,A,"8,9","[[8, 9]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,2,that we,5,3,1,A,"2,5","[[2, 5]]",2120,"A,M",Finetune DialoGPT - Normal
5,1,1,i,1,7,1,A,"0,1,2,5,7","[[0, 1, 2, 5], [2, 5, 7]]",2120,"A,M",Finetune DialoGPT - Normal
5,3,1,that,3,7,2,A,"0,2,3,5,7","[[0, 2, 3, 5], [2, 3, 5, 7]]",2120,"A,M",Finetune DialoGPT - Normal
4,2,1,have,3,7,2,A,"0,2,3,7","[[0, 2, 3], [2, 3, 7]]",2120,"A,M",Finetune DialoGPT - Normal
3,1,1,oh,9,3,3,A,"6,8,9","[[6, 8, 9]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,1,to,3,3,1,A,"0,3","[[0, 3]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,1,you,3,3,1,A,"0,3","[[0, 3]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,1,a,7,5,2,A,"2,7","[[2, 7]]",2120,"A,M",Finetune DialoGPT - Normal
3,1,1,really,3,5,1,A,"0,3,5","[[0, 3, 5]]",2120,"A,M",Finetune DialoGPT - Normal
3,1,1,we,5,5,2,A,"0,2,5","[[0, 2, 5]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,1,before,3,3,1,A,"0,3","[[0, 3]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,1,it's,7,5,1,A,"2,7","[[2, 7]]",2120,"A,M",Finetune DialoGPT - Normal
2,0,1,just,7,5,1,A,"2,7","[[2, 7]]",2120,"A,M",Finetune DialoGPT - Normal
7,3,3,", uh ,",75,27,9,A,"70,74,75,77,79,92,97","[[70, 74, 75], [74, 75, 77, 79], [92, 97]]",2149,"A,M",Finetune DialoGPT - Normal
20,6,2,", uh",13,89,1,A,"8,13,14,15,22,24,25,28,29,33,34,35,37,70,74,75,77,79,92,97","[[8, 13], [14, 15], [22, 24, 25], [24, 25, 28, 29], [28, 29, 33], [34, 35, 37], [70, 74, 75], [74, 75, 77, 79], [92, 97]]",2149,"A,M",Finetune DialoGPT - Normal
7,3,2,"uh ,",75,27,8,A,"70,74,75,77,79,92,97","[[70, 74, 75], [74, 75, 77, 79], [92, 97]]",2149,"A,M",Finetune DialoGPT - Normal
8,2,2,", i",15,97,4,A,"14,15,96,97,99,108,109,111","[[14, 15], [96, 97, 99], [108, 109, 111]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,2,yeah .,49,3,2,A,"46,49","[[46, 49]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,2,i think,9,1,2,A,"8,9","[[8, 9]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,2,", yeah",45,5,2,A,"40,45","[[40, 45]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,2,that .,71,1,1,A,"70,71","[[70, 71]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,2,we had,41,3,1,A,"38,41","[[38, 41]]",2149,"A,M",Finetune DialoGPT - Normal
3,1,2,real good,71,5,1,A,"70,71,75","[[70, 71, 75]]",2149,"A,M",Finetune DialoGPT - Normal
7,1,1,and,71,41,2,A,"70,71,74,77,79,108,111","[[70, 71], [74, 77, 79], [108, 111]]",2149,"A,M",Finetune DialoGPT - Normal
13,3,1,i,9,105,3,A,"8,9,13,14,15,96,97,99,108,109,110,111,113","[[8, 9, 13], [14, 15], [96, 97, 99], [108, 109, 110, 111, 113]]",2149,"A,M",Finetune DialoGPT - Normal
3,1,1,you,117,5,7,A,"116,117,121","[[116, 117, 121]]",2149,"A,M",Finetune DialoGPT - Normal
4,0,1,that,23,53,3,A,"18,23,70,71","[[18, 23], [70, 71]]",2149,"A,M",Finetune DialoGPT - Normal
4,0,1,to,119,3,12,A,"118,119,120,121","[[118, 119, 120, 121]]",2149,"A,M",Finetune DialoGPT - Normal
3,1,1,it,93,3,7,A,"92,93,95","[[92, 93, 95]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,in,29,1,1,A,"28,29","[[28, 29]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,think,9,1,2,A,"8,9","[[8, 9]]",2149,"A,M",Finetune DialoGPT - Normal
3,1,1,we,41,5,3,A,"38,41,43","[[38, 41, 43]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,had,41,3,3,A,"38,41","[[38, 41]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,well,95,5,1,A,"90,95","[[90, 95]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,is,61,3,4,A,"58,61","[[58, 61]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,all,13,1,1,A,"12,13","[[12, 13]]",2149,"A,M",Finetune DialoGPT - Normal
2,0,1,be,93,1,1,A,"92,93","[[92, 93]]",2149,"A,M",Finetune DialoGPT - Normal
3,1,1,good,71,5,2,A,"70,71,75","[[70, 71, 75]]",2149,"A,M",Finetune DialoGPT - Normal
5,1,1,real,69,9,1,A,"66,69,70,71,75","[[66, 69, 70, 71], [70, 71, 75]]",2149,"A,M",Finetune DialoGPT - Normal
15,5,2,", i",9,71,1,A,"8,9,10,13,15,46,49,64,66,68,69,73,74,78,79","[[8, 9, 10, 13], [10, 13, 15], [46, 49], [64, 66, 68, 69], [66, 68, 69], [68, 69, 73], [74, 78, 79]]",2157,"A,M",Finetune DialoGPT - Normal
9,3,2,yeah .,17,63,2,A,"12,16,17,36,38,41,70,71,75","[[12, 16, 17], [16, 17], [36, 38, 41], [38, 41], [70, 71, 75]]",2157,"A,M",Finetune DialoGPT - Normal
3,1,2,. i,9,5,1,A,"8,9,13","[[8, 9, 13]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,2,"know ,",79,3,4,A,"76,79","[[76, 79]]",2157,"A,M",Finetune DialoGPT - Normal
6,0,2,"yeah ,",23,55,1,A,"18,23,56,59,68,73","[[18, 23], [56, 59], [68, 73]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,2,the cowboys,79,5,5,A,"74,79","[[74, 79]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,2,"now ,",77,5,2,A,"72,77","[[72, 77]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,2,", it",79,3,1,A,"76,79","[[76, 79]]",2157,"A,M",Finetune DialoGPT - Normal
20,6,1,i,9,71,2,A,"8,9,10,13,15,46,49,50,55,58,59,64,66,68,69,73,74,76,78,79","[[8, 9, 10, 13], [10, 13, 15], [46, 49], [50, 55], [58, 59], [64, 66, 68, 69], [66, 68, 69], [68, 69, 73], [74, 76, 78, 79]]",2157,"A,M",Finetune DialoGPT - Normal
15,3,1,the,15,69,1,A,"10,15,18,21,23,26,28,31,46,47,66,69,74,77,79","[[10, 15], [18, 21, 23], [26, 28, 31], [28, 31], [46, 47], [66, 69], [74, 77, 79]]",2157,"A,M",Finetune DialoGPT - Normal
21,7,1,yeah,11,65,2,A,"10,11,12,16,17,18,23,24,25,36,38,41,54,56,59,61,68,70,71,73,75","[[10, 11], [12, 16, 17], [16, 17], [18, 23], [24, 25], [36, 38, 41], [38, 41], [54, 56, 59], [56, 59, 61], [68, 70, 71, 73], [70, 71, 73, 75]]",2157,"A,M",Finetune DialoGPT - Normal
7,1,1,know,9,71,2,A,"8,9,13,72,73,76,79","[[8, 9, 13], [72, 73], [76, 79]]",2157,"A,M",Finetune DialoGPT - Normal
7,3,1,to,69,13,1,A,"66,68,69,73,74,77,79","[[66, 68, 69], [68, 69, 73], [74, 77, 79]]",2157,"A,M",Finetune DialoGPT - Normal
4,0,1,of,23,17,2,A,"18,23,30,35","[[18, 23], [30, 35]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,that,9,3,1,A,"6,9","[[6, 9]]",2157,"A,M",Finetune DialoGPT - Normal
3,1,1,it,77,3,2,A,"76,77,79","[[76, 77, 79]]",2157,"A,M",Finetune DialoGPT - Normal
5,1,1,just,59,21,7,A,"58,59,76,77,79","[[58, 59], [76, 77, 79]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,so,19,1,2,A,"18,19","[[18, 19]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,think,49,3,5,A,"46,49","[[46, 49]]",2157,"A,M",Finetune DialoGPT - Normal
5,1,1,and,73,7,4,A,"72,73,76,77,79","[[72, 73, 76, 77], [76, 77, 79]]",2157,"A,M",Finetune DialoGPT - Normal
4,0,1,at,31,33,1,A,"26,31,58,59","[[26, 31], [58, 59]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,cowboys,79,5,5,A,"74,79","[[74, 79]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,never,79,5,2,A,"74,79","[[74, 79]]",2157,"A,M",Finetune DialoGPT - Normal
3,1,1,it's,77,3,2,A,"76,77,79","[[76, 77, 79]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,no,43,3,2,A,"40,43","[[40, 43]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,from,77,3,1,A,"74,77","[[74, 77]]",2157,"A,M",Finetune DialoGPT - Normal
2,0,1,my,79,3,1,A,"76,79","[[76, 79]]",2157,"A,M",Finetune DialoGPT - Normal
11,1,2,"yeah ,",11,77,2,A,"10,11,20,25,46,49,58,61,82,85,87","[[10, 11], [20, 25], [46, 49], [58, 61], [82, 85, 87]]",2187,"A,M",Finetune DialoGPT - Normal
4,0,2,", i",59,35,10,A,"58,59,88,93","[[58, 59], [88, 93]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,"uh ,",89,1,4,A,"88,89","[[88, 89]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,yeah .,35,3,2,A,"32,35","[[32, 35]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,", uh",101,3,4,A,"98,101","[[98, 101]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,"know ,",31,3,2,A,"28,31","[[28, 31]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,", the",33,5,1,A,"28,33","[[28, 33]]",2187,"A,M",Finetune DialoGPT - Normal
3,1,2,", yeah",105,3,4,A,"102,104,105","[[102, 104, 105], [104, 105]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,"it ,",87,3,5,A,"84,87","[[84, 87]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,to make,59,1,3,A,"58,59","[[58, 59]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,", but",85,1,1,A,"84,85","[[84, 85]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,", it's",95,5,4,A,"90,95","[[90, 95]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,. i,33,5,3,A,"28,33","[[28, 33]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,but i,85,1,2,A,"84,85","[[84, 85]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,it's not,95,5,2,A,"90,95","[[90, 95]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,2,of them,57,3,1,A,"54,57","[[54, 57]]",2187,"A,M",Finetune DialoGPT - Normal
16,4,1,i,29,65,8,A,"28,29,33,58,59,76,77,78,79,83,84,85,87,88,89,93","[[28, 29, 33], [58, 59], [76, 77, 78, 79], [78, 79, 83], [84, 85, 87, 88, 89], [88, 89, 93]]",2187,"A,M",Finetune DialoGPT - Normal
28,8,1,yeah,11,95,2,A,"10,11,20,23,25,26,28,29,31,32,33,35,37,46,49,58,61,72,74,75,82,85,87,96,101,102,104,105","[[10, 11], [20, 23, 25], [26, 28, 29, 31], [28, 29, 31, 32, 33], [32, 33, 35, 37], [46, 49], [58, 61], [72, 74, 75], [74, 75], [82, 85, 87], [96, 101], [102, 104, 105], [104, 105]]",2187,"A,M",Finetune DialoGPT - Normal
9,3,1,it,13,77,2,A,"10,13,15,58,59,61,84,85,87","[[10, 13, 15], [58, 59, 61], [84, 85, 87]]",2187,"A,M",Finetune DialoGPT - Normal
13,5,1,a,45,51,8,A,"44,45,47,49,58,59,63,82,83,85,87,90,95","[[44, 45, 47, 49], [58, 59, 63], [82, 83, 85, 87], [90, 95]]",2187,"A,M",Finetune DialoGPT - Normal
7,1,1,you,59,45,12,A,"58,59,61,98,99,102,103","[[58, 59, 61], [98, 99, 102, 103]]",2187,"A,M",Finetune DialoGPT - Normal
4,0,1,and,29,21,8,A,"28,29,44,49","[[28, 29], [44, 49]]",2187,"A,M",Finetune DialoGPT - Normal
8,2,1,of,33,65,1,A,"30,33,54,56,57,59,90,95","[[30, 33], [54, 56, 57, 59], [56, 57, 59], [90, 95]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,the,33,5,3,A,"28,33","[[28, 33]]",2187,"A,M",Finetune DialoGPT - Normal
